web-scraper-order,web-scraper-start-url,filmstars,filmstars-href,Name,Personality,Image-src,pages,pages-href
"1587938901-4337","https://www.imdb.com/list/ls068010962/","Akshay Kumar","https://www.imdb.com/name/nm0474774?ref_=nmls_hd","Akshay Kumar","Akshay Kumar, born September 9, 1967, is an actor. He studied martial arts in Hong Kong. It was a student that suggested that he try modeling. Because of his success as model, he was offered films. Along with his good looks and excellent martial art skills, he was always the first choice to do adventurous movies. He does his own stunts in his ...            
                    See full bio »","https://m.media-amazon.com/images/M/MV5BODI4NDY1NzkyM15BMl5BanBnXkFtZTgwNzM3MDM0OTE@._V1_UY317_CR19,0,214,317_AL__QL50.jpg","",""
"1587938747-4317","https://www.imdb.com/list/ls068010962/","Boman Irani","https://www.imdb.com/name/nm1224082?ref_=nmls_hd","Boman Irani","Boman Irani was born on December 2, 1959 in Bombay, State of Bombay, India. He is an actor, known for 3 Idiots (2009), Munna Bhai M.B.B.S. (2003) and Don 2 (2011). He has been married to Zenobia since January 28, 1985. They have two children.            
                    See full bio »","https://m.media-amazon.com/images/M/MV5BNTc4ZjFlMjUtODU3MS00M2JhLTlkMzEtMmIyODFiMjAwZmJhXkEyXkFqcGdeQXVyNTE0MDc0NTM@._V1_UY317_CR93,0,214,317_AL__QL50.jpg","",""
"1587938454-4269","https://www.imdb.com/list/ls068010962/","Manu Rishi Chadha","https://www.imdb.com/name/nm2286188?ref_=nmls_hd","Manu Rishi Chadha","Manu Rishi Chadha, one of the finest artists in our industry was born and raised in Delhi. His only dream was to become an actor and hence to hone his skills, he quit college to pursue theatre. He gave 10 years to theatre and eventually decided to move to Mumbai to give a bigger platform to his acting dreams. After a few attempts at acting which ...            
                    See full bio »","https://m.media-amazon.com/images/M/MV5BMmY4YzA5Y2UtYmI2Yi00MzNmLWJmZjQtYTY3YWYyYzBjYWQ3XkEyXkFqcGdeQXVyOTAyMDgxODQ@._V1_UY317_CR173,0,214,317_AL__QL50.jpg","",""
"1587938774-4322","https://www.imdb.com/list/ls068010962/","Adil Hussain","https://www.imdb.com/name/nm1300009?ref_=nmls_hd","Adil Hussain","Adil Hussain is known for his critically acclaimed performances in award winning films such as Ang Lee's Oscar winning Life of Pi, Subhashish Bhutiani's Hotel Salvation/Mukti Bhavan, Iram Haq's What Will People Say, Danis Tanovic's Tigers, Mira Nair's The Reluctant Fundamentalist, Pan Nalin's Angry Indian Goddesses, Partho Sen-Gupta's Sunrise, ...            
                    See full bio »","https://m.media-amazon.com/images/M/MV5BN2Q2YzA4MDMtMzVkYy00ZTMwLTgzN2EtZTc4NTRiODhkNzM3XkEyXkFqcGdeQXVyMjA4ODEzMzE@._V1_UY317_CR25,0,214,317_AL__QL50.jpg","",""
"1587938394-4258","https://www.imdb.com/list/ls068010962/","Mohnish Bahl","https://www.imdb.com/name/nm0046894?ref_=nmls_hd","Mohnish Bahl","Mohnish Bahl was born on February 14, 1963 in Bombay, Maharashtra, India. He is known for his work on Who Am I to You? (1994), Sanjivani: A Medical Boon (2002) and A Rebel for Love (1990). He has been married to Ekta Bahl since 1992. They have two children.            
                    See full bio »","https://m.media-amazon.com/images/M/MV5BZWRlMmFiZWUtYWY3Ni00NDkwLWFlZmQtOWE2NjI2MDUzYTczXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR6,0,214,317_AL__QL50.jpg","",""
"1587938734-4315","https://www.imdb.com/list/ls068010962/","Binnu Dhillon","https://www.imdb.com/name/nm3839111?ref_=nmls_hd","Binnu Dhillon","Binnu Dhillon is an actor and producer, known for Dev.D (2009), Vadhayiyaan Ji Vadhayiyaan (2018) and Chhevan Dariya (The Sixth River) (2010).            
                    See full bio »","","",""
"1587938577-4288","https://www.imdb.com/list/ls068010962/","Jimmy Sheirgill","https://www.imdb.com/name/nm0792116?ref_=nmls_hd","Jimmy Sheirgill","Shergill was born in a Sikh family in Gorakhpur, Uttar Pradesh. He moved to Punjab, the place of his ancestors, in 1985 where he studied in Yadavindra Public School, Patiala and Bikram College Patiala. He learnt acting from Sri Harpal Singh, and then moved to Mumbai to work in the entertainment industry. He's married to Priyanka Puri from Delhi ...            
                    See full bio »","https://m.media-amazon.com/images/M/MV5BMjM2MTc1NTk5OF5BMl5BanBnXkFtZTgwOTI4NDczMDE@._V1_UY317_CR130,0,214,317_AL__QL50.jpg","",""
"1587937616-4161","https://www.imdb.com/list/ls068010962/","Tabu","https://www.imdb.com/name/nm0007102?ref_=nmls_hd","Tabu","Tabu is an Indian actress. She has mainly acted in Hindi films, though she has also starred in Telugu, Tamil, Malayalam, Marathi and Bengali-language films, as well as one American film. She has won the National Film Award for Best Actress twice, and holds the record for the most wins of Filmfare's Critics Award for Best Female Performer, with ...            
                    See full bio »","https://m.media-amazon.com/images/M/MV5BMTU0ODQ2MjA5NF5BMl5BanBnXkFtZTYwMjczMjA0._V1_UY317_CR1,0,214,317_AL__QL50.jpg","Next","https://www.imdb.com/list/ls068010962/?page=2"
"1587938660-4306","https://www.imdb.com/list/ls068010962/","Dimple Kapadia","https://www.imdb.com/name/nm0438092?ref_=nmls_hd","Dimple Kapadia","Born in a Gujerati-speaking family on June 8, 1957, daughter to businessman, Chunnibhai and Betty, Dimple has a younger sister, Simple, who was born on 15 August 1958. She was discovered by Raj Kapoor, who signed her up opposite his son, Rishi, in the 1973 hit 'Bobby'. The film made Rishi and her stars overnight, at the time she was just 16 years ...            
                    See full bio »","https://m.media-amazon.com/images/M/MV5BNTc4MTE1NDU5MF5BMl5BanBnXkFtZTcwNDI2MTcxOA@@._V1_UY317_CR122,0,214,317_AL__QL50.jpg","",""
"1587937550-4143","https://www.imdb.com/list/ls068010962/","Yashpal Sharma","https://www.imdb.com/name/nm1004985?ref_=nmls_hd","Yashpal Sharma","Yashpal Sharma was born on August 9, 1970 in Hisar, Haryana, India. He is an actor and casting director, known for Lagaan: Once Upon a Time in India (2001), Gangs of Wasseypur (2012) and Gangaajal (2003).            
                    See full bio »","https://m.media-amazon.com/images/M/MV5BMzczOGQwZDMtYWQxYi00NDZhLTlkNWYtMjVkMzhlODcyZmU4XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR9,0,214,317_AL__QL50.jpg","Next","https://www.imdb.com/list/ls068010962/?page=2"
"1587938398-4259","https://www.imdb.com/list/ls068010962/","Madhuri Dixit","https://www.imdb.com/name/nm0002043?ref_=nmls_hd","Madhuri Dixit","Madhuri Dixit is one of the most acclaimed actors and Kathak dancers Bollywood have ever witnessed. Born in a Marathi Brahmin Koknastha family to Mr. Shankar and Mrs. Snehlata, Madhuri Dixit has two sisters Rupa, Bharti, and brother Ajit. She performed decently well in her academics and aspired to become a Microbiologist which made her pursue the ...            
                    See full bio »","https://m.media-amazon.com/images/M/MV5BNTk0OTFkZGItYTQxMi00YTUwLTlkMGEtMTIyZDNlNDc0MzRlXkEyXkFqcGdeQXVyMTgzNTY5OTc@._V1_UY317_CR51,0,214,317_AL__QL50.jpg","",""
"1587938296-4241","https://www.imdb.com/list/ls068010962/","Nutan","https://www.imdb.com/name/nm0638295?ref_=nmls_hd","Nutan","Nutan Samarth was born on June 4 1936 to poet Kumarsen Samarth and his actress wife 'Shobhana' as the eldest of their four children (a younger sister is the actress Tanuja). Her parents separated when she was a small child. 13-year-old Nutan made her debut in K. Asif's ""Hamari Beti"". She was a beauty queen as well, being crowned Miss Mussorie in ...            
                    See full bio »","https://m.media-amazon.com/images/M/MV5BMTM0MDI4NDIzOV5BMl5BanBnXkFtZTcwNDY1NTAzMQ@@._V1_UY317_CR10,0,214,317_AL__QL50.jpg","",""
"1587938180-4228","https://www.imdb.com/list/ls068010962/","Prabhu Deva","https://www.imdb.com/name/nm0222150?ref_=nmls_hd","Prabhu Deva","Prabhu Deva was born as Prabhu Sundaram. He is known for his work on Aim (2004), Wanted (2009) and Dabangg 3 (2019). He was previously married to Ramlath.            
                    See full bio »","https://m.media-amazon.com/images/M/MV5BMTY4MzAyODE3NV5BMl5BanBnXkFtZTcwMjM3Mjc4OQ@@._V1_UX214_CR0,0,214,317_AL__QL50.jpg","Next","https://www.imdb.com/list/ls068010962/?page=2"
"1587938118-4219","https://www.imdb.com/list/ls068010962/","Ratna Pathak Shah","https://www.imdb.com/name/nm0665550?ref_=nmls_hd","Ratna Pathak Shah","Ratna Pathak Shah was born on March 18, 1963 in Bombay, Maharashtra, India. She is an actress, known for Jaane Tu... Ya Jaane Na (2008), Kapoor & Sons (2016) and Lipstick Under My Burkha (2016). She has been married to Naseeruddin Shah since April 1, 1982. They have three children.            
                    See full bio »","https://m.media-amazon.com/images/M/MV5BMjQwMzc5NDQ0NF5BMl5BanBnXkFtZTgwNDg1ODA0OTE@._V1_UX214_CR0,0,214,317_AL__QL50.jpg","Next","https://www.imdb.com/list/ls068010962/?page=2"
"1587938761-4320","https://www.imdb.com/list/ls068010962/","Anil Kapoor","https://www.imdb.com/name/nm0438463?ref_=nmls_hd","Anil Kapoor","Living in a Chawl in Tilak Nagar, Punjabi-speaking Anil was born in 1959 to Surinder and Nirmal aka Suchitra Kapoor. He has an elder brother, Boney, a sister, Reena, and a younger brother, Sanjay. His dad used to be Shammi Kapoor's Secretary. A loner, without many friends, he studied in the nearby O.L.P.S. (Our Lady of Perpetual Succor) School, and...            
                    See full bio »","https://m.media-amazon.com/images/M/MV5BMjUyMWE5MjUtMDlkMC00ODc0LThkOTgtNjZhNDgyMTU5ZDhlXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UX214_CR0,0,214,317_AL__QL50.jpg","",""
"1587938090-4213","https://www.imdb.com/list/ls068010962/","Revathy","https://www.imdb.com/name/nm0720763?ref_=nmls_hd","Revathy","Revathy was born on July 8, 1966 in Kochi, Kerala, India as Asha Kelunni. She is an actress and director, known for Thevar Magan (1992), Kizhakku Vasal (1990) and Man Vasanai (1983). She was previously married to Menon, Suresh.            
                    See full bio »","https://m.media-amazon.com/images/M/MV5BZjc4NTAwMmQtMWQyMS00NGU4LWEzNmYtZTMyODJhOGZjMGRiXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UX214_CR0,0,214,317_AL__QL50.jpg","Next","https://www.imdb.com/list/ls068010962/?page=2"
"1587937574-4150","https://www.imdb.com/list/ls068010962/","Vikram Gokhale","https://www.imdb.com/name/nm0324845?ref_=nmls_hd","Vikram Gokhale","Vikram Gokhle (occasionally credited as Vikram Gokhle) is a well known Indian film, television and stage actor, notable for his roles in Marathi theatre and Hindi films and television. He is the son of another well known veteran Marathi theater and film actor Chandrakant Gokhle, who acted in 68 Marathi and 16 Hindi films besides 64 Marathi plays ...            
                    See full bio »","https://m.media-amazon.com/images/M/MV5BN2EyYjI5NmEtMDEwZC00ZGYwLWFjZWEtOWVkZjZjMDM0M2IyXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR4,0,214,317_AL__QL50.jpg","Next","https://www.imdb.com/list/ls068010962/?page=2"
"1587938618-4296","https://www.imdb.com/list/ls068010962/","Gulshan Grover","https://www.imdb.com/name/nm0004109?ref_=nmls_hd","Gulshan Grover","Gulshan Grover was born, raised and educated in Delhi, India. After receiving his master's degree in Commerce from Shri Ram College of Commerce, he decided to pursue his passion and made a lifelong commitment to entertainment industry. He honed his acting skills in theatre, and after many stage productions with the well-known ""Little Theatre Group...            
                    See full bio »","https://m.media-amazon.com/images/M/MV5BM2FmZGY4NDctMzczOC00MTg3LWExZDUtYWU5NTNkMTA4YzZhXkEyXkFqcGdeQXVyODI0MDE3OQ@@._V1_UX214_CR0,0,214,317_AL__QL50.jpg","",""
